cost_id,usage_id,job_id,asset_id,cost_date,cost_category,amount_cents,gst_input_cents,tax_code,bas_g11_cents,bas_1b_cents,supplier_name,withholding_cents
COST000028,USE00647,JOB0019,BC001,2026-01-07,Fuel,31642,3164,GST,31642,3164,Ampol,0
COST000029,USE00647,JOB0019,BC001,2026-01-07,Labour,59245,0,N-T,0,0,Grounded Fleet Payroll,0
COST000030,USE00640,JOB0019,LD002,2026-01-07,Fuel,24094,2409,GST,24094,2409,BP Australia,0
COST000031,USE00640,JOB0019,LD002,2026-01-07,Labour,49542,0,N-T,0,0,Grounded Fleet Payroll,0
COST000032,USE00765,JOB0023,EX001,2026-01-07,Fuel,30062,3006,GST,30062,3006,BP Australia,0
COST000033,USE00765,JOB0023,EX001,2026-01-07,Labour,60602,0,N-T,0,0,Grounded Fleet Payroll,0
COST000034,USE00765,JOB0023,EX001,2026-01-07,Transport/float,49585,4958,GST,49585,4958,Grounded Float,0
COST000035,USE00769,JOB0023,EX004,2026-01-07,Fuel,56522,5652,GST,56522,5652,Viva Energy,0
COST000036,USE00769,JOB0023,EX004,2026-01-07,Labour,39121,0,N-T,0,0,Grounded Fleet Payroll,0
COST000037,USE00769,JOB0023,EX004,2026-01-07,Transport/float,56458,5646,GST,56458,5646,VIC Tilt Tray,0
COST000038,USE00648,JOB0019,BC001,2026-01-08,Fuel,27116,2712,GST,27116,2712,Ampol,0
COST000039,USE00648,JOB0019,BC001,2026-01-08,Labour,64519,0,N-T,0,0,Grounded Fleet Payroll,0
COST000040,USE00648,JOB0019,BC001,2026-01-08,E-tag,2715,272,GST,2715,272,Linkt,0
COST000041,USE00641,JOB0019,LD002,2026-01-08,Fuel,26451,2645,GST,26451,2645,Ampol,0
COST000042,USE00641,JOB0019,LD002,2026-01-08,Labour,46381,0,N-T,0,0,Grounded Fleet Payroll,0
COST000043,USE00766,JOB0023,EX001,2026-01-08,Fuel,24555,2456,GST,24555,2456,Ampol,0
COST000044,USE00766,JOB0023,EX001,2026-01-08,Labour,57018,0,N-T,0,0,Grounded Fleet Payroll,0
COST000045,USE00766,JOB0023,EX001,2026-01-08,Maintenance,74470,7447,GST,74470,7447,CAT Parts,0
COST000046,USE00770,JOB0023,EX004,2026-01-08,Fuel,42664,4266,GST,42664,4266,Caltex,0
COST000047,USE00770,JOB0023,EX004,2026-01-08,Labour,48348,0,N-T,0,0,Grounded Fleet Payroll,0
COST000048,USE00770,JOB0023,EX004,2026-01-08,Maintenance,61680,6168,GST,61680,6168,Local Diesel Repairs,0
COST000049,USE00767,JOB0023,EX001,2026-01-09,Fuel,37410,3741,GST,37410,3741,Caltex,0
COST000050,USE00767,JOB0023,EX001,2026-01-09,Labour,40280,0,N-T,0,0,Grounded Fleet Payroll,0
COST000051,USE00771,JOB0023,EX004,2026-01-09,Fuel,18806,1881,GST,18806,1881,BP Australia,0
COST000052,USE00771,JOB0023,EX004,2026-01-09,Labour,44115,0,N-T,0,0,Grounded Fleet Payroll,0
COST000053,USE00768,JOB0023,EX001,2026-01-10,Fuel,33346,3335,GST,33346,3335,Ampol,0
COST000054,USE00768,JOB0023,EX001,2026-01-10,Labour,59483,0,N-T,0,0,Grounded Fleet Payroll,0
COST000055,USE00772,JOB0023,EX004,2026-01-10,Fuel,17178,1718,GST,17178,1718,Viva Energy,0
COST000056,USE00772,JOB0023,EX004,2026-01-10,Labour,42849,0,N-T,0,0,Grounded Fleet Payroll,0
COST000057,USE00131,JOB0005,BC001,2026-01-12,Fuel,20210,2021,GST,20210,2021,BP Australia,0
COST000058,USE00131,JOB0005,BC001,2026-01-12,Labour,38869,0,N-T,0,0,Grounded Fleet Payroll,0
COST000059,USE00131,JOB0005,BC001,2026-01-12,Transport/float,119295,11930,GST,119295,11930,VIC Tilt Tray,0
COST000060,USE00109,JOB0005,CP001,2026-01-12,Fuel,60902,6090,GST,60902,6090,Viva Energy,0
COST000061,USE00109,JOB0005,CP001,2026-01-12,Labour,43824,0,N-T,0,0,Grounded Fleet Payroll,0
COST000062,USE00109,JOB0005,CP001,2026-01-12,Maintenance,46751,4675,GST,46751,4675,Local Diesel Repairs,0
COST000063,USE00109,JOB0005,CP001,2026-01-12,Transport/float,58385,5838,GST,58385,5838,Grounded Float,0
COST000064,USE00098,JOB0005,DT001,2026-01-12,Fuel,58702,5870,GST,58702,5870,Viva Energy,0
COST000065,USE00098,JOB0005,DT001,2026-01-12,Labour,50027,0,N-T,0,0,Grounded Fleet Payroll,0
COST000066,USE00098,JOB0005,DT001,2026-01-12,Transport/float,95433,9543,GST,95433,9543,Grounded Float,0
COST000067,USE00098,JOB0005,DT001,2026-01-12,E-tag,6186,619,GST,6186,619,Linkt,0
COST000068,USE00120,JOB0005,EX004,2026-01-12,Fuel,35674,3567,GST,35674,3567,Ampol,0
COST000069,USE00120,JOB0005,EX004,2026-01-12,Labour,51943,0,N-T,0,0,Grounded Fleet Payroll,0
COST000070,USE00120,JOB0005,EX004,2026-01-12,Transport/float,78940,7894,GST,78940,7894,Metro Heavy Haulage,0
COST000071,USE00120,JOB0005,EX004,2026-01-12,E-tag,11977,1198,GST,11977,1198,Linkt,0
COST000072,USE00132,JOB0005,BC001,2026-01-13,Fuel,31393,3139,GST,31393,3139,BP Australia,0
COST000073,USE00132,JOB0005,BC001,2026-01-13,Labour,47150,0,N-T,0,0,Grounded Fleet Payroll,0
COST000074,USE00110,JOB0005,CP001,2026-01-13,Fuel,58591,5859,GST,58591,5859,Caltex,0
COST000075,USE00110,JOB0005,CP001,2026-01-13,Labour,50630,0,N-T,0,0,Grounded Fleet Payroll,0
COST000076,USE00110,JOB0005,CP001,2026-01-13,E-tag,7723,772,GST,7723,772,Linkt,0
COST000077,USE00099,JOB0005,DT001,2026-01-13,Fuel,62829,6283,GST,62829,6283,BP Australia,0
COST000078,USE00099,JOB0005,DT001,2026-01-13,Labour,61982,0,N-T,0,0,Grounded Fleet Payroll,0
COST000079,USE00099,JOB0005,DT001,2026-01-13,Maintenance,85957,8596,GST,85957,8596,CAT Parts,0
COST000080,USE00121,JOB0005,EX004,2026-01-13,Fuel,35105,3510,GST,35105,3510,Ampol,0
COST000081,USE00121,JOB0005,EX004,2026-01-13,Labour,55249,0,N-T,0,0,Grounded Fleet Payroll,0
COST000082,USE00121,JOB0005,EX004,2026-01-13,Maintenance,43303,4330,GST,43303,4330,Local Diesel Repairs,0
COST000083,USE00992,JOB0030,CP001,2026-01-13,Fuel,64505,6450,GST,64505,6450,Ampol,0
COST000084,USE00992,JOB0030,CP001,2026-01-13,Labour,52224,0,N-T,0,0,Grounded Fleet Payroll,0
COST000085,USE00992,JOB0030,CP001,2026-01-13,Maintenance,87593,8759,GST,87593,8759,WesTrac,0
COST000086,USE00992,JOB0030,CP001,2026-01-13,Transport/float,91994,9199,GST,91994,9199,VIC Tilt Tray,0
COST000087,USE00992,JOB0030,CP001,2026-01-13,E-tag,9959,996,GST,9959,996,Linkt,0
COST000088,USE01002,JOB0030,DT001,2026-01-13,Fuel,52815,5282,GST,52815,5282,BP Australia,0
COST000089,USE01002,JOB0030,DT001,2026-01-13,Labour,38177,0,N-T,0,0,Grounded Fleet Payroll,0
COST000090,USE01002,JOB0030,DT001,2026-01-13,Maintenance,72863,7286,GST,72863,7286,Local Diesel Repairs,0
COST000091,USE01002,JOB0030,DT001,2026-01-13,Transport/float,115373,11537,GST,115373,11537,Grounded Float,0
COST000092,USE01012,JOB0030,EX002,2026-01-13,Fuel,18420,1842,GST,18420,1842,Viva Energy,0
COST000093,USE01012,JOB0030,EX002,2026-01-13,Labour,50154,0,N-T,0,0,Grounded Fleet Payroll,0
COST000094,USE01012,JOB0030,EX002,2026-01-13,Maintenance,51689,5169,GST,51689,5169,Local Diesel Repairs,0
COST000095,USE01012,JOB0030,EX002,2026-01-13,Transport/float,115766,11577,GST,115766,11577,Grounded Float,0
COST000096,USE00997,JOB0030,EX005,2026-01-13,Fuel,40175,4018,GST,40175,4018,Caltex,0
COST000097,USE00997,JOB0030,EX005,2026-01-13,Labour,62069,0,N-T,0,0,Grounded Fleet Payroll,0
COST000098,USE00997,JOB0030,EX005,2026-01-13,Transport/float,99918,9992,GST,99918,9992,Grounded Float,0
COST000099,USE01007,JOB0030,GR001,2026-01-13,Fuel,58923,5892,GST,58923,5892,Caltex,0
COST000100,USE01007,JOB0030,GR001,2026-01-13,Labour,60616,0,N-T,0,0,Grounded Fleet Payroll,0
COST000101,USE01007,JOB0030,GR001,2026-01-13,Transport/float,58173,5817,GST,58173,5817,Grounded Float,0
COST000102,USE00133,JOB0005,BC001,2026-01-14,Fuel,23466,2347,GST,23466,2347,BP Australia,0
COST000103,USE00133,JOB0005,BC001,2026-01-14,Labour,58923,0,N-T,0,0,Grounded Fleet Payroll,0
COST000104,USE00133,JOB0005,BC001,2026-01-14,Maintenance,67749,6775,GST,67749,6775,CAT Parts,0
COST000105,USE00111,JOB0005,CP001,2026-01-14,Fuel,79507,7951,GST,79507,7951,Ampol,0
COST000106,USE00111,JOB0005,CP001,2026-01-14,Labour,50490,0,N-T,0,0,Grounded Fleet Payroll,0
COST000107,USE00111,JOB0005,CP001,2026-01-14,Transport/float,63222,6322,GST,63222,6322,VIC Tilt Tray,0
COST000108,USE00111,JOB0005,CP001,2026-01-14,E-tag,6568,657,GST,6568,657,Linkt,0
COST000109,USE00100,JOB0005,DT001,2026-01-14,Fuel,63618,6362,GST,63618,6362,Caltex,0
COST000110,USE00100,JOB0005,DT001,2026-01-14,Labour,42420,0,N-T,0,0,Grounded Fleet Payroll,0
COST000111,USE00100,JOB0005,DT001,2026-01-14,Maintenance,71167,7117,GST,71167,7117,WesTrac,0
COST000112,USE00100,JOB0005,DT001,2026-01-14,Transport/float,47334,4733,GST,47334,4733,Grounded Float,0
COST000113,USE00122,JOB0005,EX004,2026-01-14,Fuel,39984,3998,GST,39984,3998,BP Australia,0
COST000114,USE00122,JOB0005,EX004,2026-01-14,Labour,56152,0,N-T,0,0,Grounded Fleet Payroll,0
COST000115,USE00993,JOB0030,CP001,2026-01-14,Fuel,64503,6450,GST,64503,6450,Ampol,0
COST000116,USE00993,JOB0030,CP001,2026-01-14,Labour,46369,0,N-T,0,0,Grounded Fleet Payroll,0
COST000117,USE00993,JOB0030,CP001,2026-01-14,Transport/float,119098,11910,GST,119098,11910,Metro Heavy Haulage,0
COST000118,USE01003,JOB0030,DT001,2026-01-14,Fuel,29168,2917,GST,29168,2917,Ampol,0
COST000119,USE01003,JOB0030,DT001,2026-01-14,Labour,53124,0,N-T,0,0,Grounded Fleet Payroll,0
COST000120,USE01003,JOB0030,DT001,2026-01-14,Transport/float,91171,9117,GST,91171,9117,Grounded Float,0
COST000121,USE01013,JOB0030,EX002,2026-01-14,Fuel,27870,2787,GST,27870,2787,Caltex,0
COST000122,USE01013,JOB0030,EX002,2026-01-14,Labour,52473,0,N-T,0,0,Grounded Fleet Payroll,0
COST000123,USE00998,JOB0030,EX005,2026-01-14,Fuel,65561,6556,GST,65561,6556,Caltex,0
COST000124,USE00998,JOB0030,EX005,2026-01-14,Labour,45437,0,N-T,0,0,Grounded Fleet Payroll,0
COST000125,USE00998,JOB0030,EX005,2026-01-14,Maintenance,87623,8762,GST,87623,8762,WesTrac,0
COST000126,USE01008,JOB0030,GR001,2026-01-14,Fuel,31381,3138,GST,31381,3138,Ampol,0
COST000127,USE01008,JOB0030,GR001,2026-01-14,Labour,50924,0,N-T,0,0,Grounded Fleet Payroll,0
COST000128,USE00134,JOB0005,BC001,2026-01-15,Fuel,39539,3954,GST,39539,3954,Viva Energy,0
COST000129,USE00134,JOB0005,BC001,2026-01-15,Labour,54925,0,N-T,0,0,Grounded Fleet Payroll,0
COST000130,USE00134,JOB0005,BC001,2026-01-15,Maintenance,61069,6107,GST,61069,6107,Komatsu Service,0
COST000131,USE00112,JOB0005,CP001,2026-01-15,Fuel,19427,1943,GST,19427,1943,Ampol,0
COST000132,USE00112,JOB0005,CP001,2026-01-15,Labour,55060,0,N-T,0,0,Grounded Fleet Payroll,0
COST000133,USE00112,JOB0005,CP001,2026-01-15,Maintenance,41771,4177,GST,41771,4177,CAT Parts,0
COST000134,USE00112,JOB0005,CP001,2026-01-15,Transport/float,105733,10573,GST,105733,10573,Metro Heavy Haulage,0
COST000135,USE00101,JOB0005,DT001,2026-01-15,Fuel,49638,4964,GST,49638,4964,Viva Energy,0
COST000136,USE00101,JOB0005,DT001,2026-01-15,Labour,58195,0,N-T,0,0,Grounded Fleet Payroll,0
COST000137,USE00101,JOB0005,DT001,2026-01-15,Maintenance,69534,6953,GST,69534,6953,CAT Parts,0
COST000138,USE00101,JOB0005,DT001,2026-01-15,Transport/float,105865,10586,GST,105865,10586,Grounded Float,0
COST000139,USE00123,JOB0005,EX004,2026-01-15,Fuel,48235,4824,GST,48235,4824,Viva Energy,0
COST000140,USE00123,JOB0005,EX004,2026-01-15,Labour,47664,0,N-T,0,0,Grounded Fleet Payroll,0
COST000141,USE00123,JOB0005,EX004,2026-01-15,Maintenance,85928,8593,GST,85928,8593,CAT Parts,0
COST000142,USE00994,JOB0030,CP001,2026-01-15,Fuel,34343,3434,GST,34343,3434,Ampol,0
COST000143,USE00994,JOB0030,CP001,2026-01-15,Labour,55467,0,N-T,0,0,Grounded Fleet Payroll,0
COST000144,USE00994,JOB0030,CP001,2026-01-15,Transport/float,93598,9360,GST,93598,9360,VIC Tilt Tray,0
COST000145,USE01004,JOB0030,DT001,2026-01-15,Fuel,41983,4198,GST,41983,4198,Viva Energy,0
COST000146,USE01004,JOB0030,DT001,2026-01-15,Labour,49519,0,N-T,0,0,Grounded Fleet Payroll,0
COST000147,USE01004,JOB0030,DT001,2026-01-15,Transport/float,80593,8059,GST,80593,8059,Metro Heavy Haulage,0
COST000148,USE01014,JOB0030,EX002,2026-01-15,Fuel,50469,5047,GST,50469,5047,BP Australia,0
COST000149,USE01014,JOB0030,EX002,2026-01-15,Labour,42402,0,N-T,0,0,Grounded Fleet Payroll,0
COST000150,USE01014,JOB0030,EX002,2026-01-15,Maintenance,54758,5476,GST,54758,5476,Local Diesel Repairs,0
COST000151,USE01014,JOB0030,EX002,2026-01-15,E-tag,4941,494,GST,4941,494,Linkt,0
COST000152,USE00999,JOB0030,EX005,2026-01-15,Fuel,53405,5340,GST,53405,5340,Viva Energy,0
COST000153,USE00999,JOB0030,EX005,2026-01-15,Labour,44742,0,N-T,0,0,Grounded Fleet Payroll,0
COST000154,USE01009,JOB0030,GR001,2026-01-15,Fuel,49160,4916,GST,49160,4916,Ampol,0
COST000155,USE01009,JOB0030,GR001,2026-01-15,Labour,48879,0,N-T,0,0,Grounded Fleet Payroll,0
COST000156,USE00135,JOB0005,BC001,2026-01-16,Fuel,32250,3225,GST,32250,3225,Ampol,0
COST000157,USE00135,JOB0005,BC001,2026-01-16,Labour,59615,0,N-T,0,0,Grounded Fleet Payroll,0
COST000158,USE00135,JOB0005,BC001,2026-01-16,E-tag,6595,660,GST,6595,660,Linkt,0
COST000159,USE00113,JOB0005,CP001,2026-01-16,Fuel,31665,3166,GST,31665,3166,BP Australia,0
COST000160,USE00113,JOB0005,CP001,2026-01-16,Labour,48925,0,N-T,0,0,Grounded Fleet Payroll,0
COST000161,USE00113,JOB0005,CP001,2026-01-16,Maintenance,42877,4288,GST,42877,4288,Local Diesel Repairs,0
COST000162,USE00113,JOB0005,CP001,2026-01-16,Transport/float,52698,5270,GST,52698,5270,Grounded Float,0
COST000163,USE00102,JOB0005,DT001,2026-01-16,Fuel,21693,2169,GST,21693,2169,Ampol,0
COST000164,USE00102,JOB0005,DT001,2026-01-16,Labour,54201,0,N-T,0,0,Grounded Fleet Payroll,0
COST000165,USE00102,JOB0005,DT001,2026-01-16,Transport/float,47411,4741,GST,47411,4741,Grounded Float,0
COST000166,USE00124,JOB0005,EX004,2026-01-16,Fuel,43435,4344,GST,43435,4344,Ampol,0
COST000167,USE00124,JOB0005,EX004,2026-01-16,Labour,56350,0,N-T,0,0,Grounded Fleet Payroll,0
COST000168,USE00995,JOB0030,CP001,2026-01-16,Fuel,76913,7691,GST,76913,7691,Ampol,0
COST000169,USE00995,JOB0030,CP001,2026-01-16,Labour,63912,0,N-T,0,0,Grounded Fleet Payroll,0
COST000170,USE00995,JOB0030,CP001,2026-01-16,Transport/float,100773,10077,GST,100773,10077,Grounded Float,0
COST000171,USE01005,JOB0030,DT001,2026-01-16,Fuel,39231,3923,GST,39231,3923,Caltex,0
COST000172,USE01005,JOB0030,DT001,2026-01-16,Labour,50829,0,N-T,0,0,Grounded Fleet Payroll,0
COST000173,USE01005,JOB0030,DT001,2026-01-16,Maintenance,54848,5485,GST,54848,5485,WesTrac,0
COST000174,USE01005,JOB0030,DT001,2026-01-16,Transport/float,60635,6064,GST,60635,6064,Metro Heavy Haulage,0
COST000175,USE01005,JOB0030,DT001,2026-01-16,E-tag,11638,1164,GST,11638,1164,Linkt,0
COST000176,USE01015,JOB0030,EX002,2026-01-16,Fuel,26730,2673,GST,26730,2673,BP Australia,0
COST000177,USE01015,JOB0030,EX002,2026-01-16,Labour,38860,0,N-T,0,0,Grounded Fleet Payroll,0
COST000178,USE01000,JOB0030,EX005,2026-01-16,Fuel,50842,5084,GST,50842,5084,Viva Energy,0
COST000179,USE01000,JOB0030,EX005,2026-01-16,Labour,50145,0,N-T,0,0,Grounded Fleet Payroll,0
COST000180,USE01010,JOB0030,GR001,2026-01-16,Fuel,32318,3232,GST,32318,3232,BP Australia,0
COST000181,USE01010,JOB0030,GR001,2026-01-16,Labour,53532,0,N-T,0,0,Grounded Fleet Payroll,0
COST000182,USE01225,JOB0037,CP001,2026-01-16,Fuel,37307,3731,GST,37307,3731,BP Australia,0
COST000183,USE01225,JOB0037,CP001,2026-01-16,Labour,61131,0,N-T,0,0,Grounded Fleet Payroll,0
COST000184,USE01225,JOB0037,CP001,2026-01-16,Maintenance,39162,3916,GST,39162,3916,Komatsu Service,0
COST000185,USE01225,JOB0037,CP001,2026-01-16,Transport/float,118013,11801,GST,118013,11801,VIC Tilt Tray,0
COST000186,USE01238,JOB0037,DT001,2026-01-16,Fuel,45707,4571,GST,45707,4571,Viva Energy,0
COST000187,USE01238,JOB0037,DT001,2026-01-16,Labour,60453,0,N-T,0,0,Grounded Fleet Payroll,0
COST000188,USE01238,JOB0037,DT001,2026-01-16,Maintenance,56718,5672,GST,56718,5672,WesTrac,0
COST000189,USE01238,JOB0037,DT001,2026-01-16,Transport/float,51754,5175,GST,51754,5175,VIC Tilt Tray,0
COST000190,USE01264,JOB0037,EX002,2026-01-16,Fuel,46181,4618,GST,46181,4618,BP Australia,0
COST000191,USE01264,JOB0037,EX002,2026-01-16,Labour,50048,0,N-T,0,0,Grounded Fleet Payroll,0
COST000192,USE01264,JOB0037,EX002,2026-01-16,Transport/float,119825,11982,GST,119825,11982,VIC Tilt Tray,0
COST000193,USE01251,JOB0037,EX003,2026-01-16,Fuel,44434,4443,GST,44434,4443,Caltex,0
COST000194,USE01251,JOB0037,EX003,2026-01-16,Labour,54332,0,N-T,0,0,Grounded Fleet Payroll,0
COST000195,USE01251,JOB0037,EX003,2026-01-16,Transport/float,42858,4286,GST,42858,4286,VIC Tilt Tray,0
COST000196,USE01251,JOB0037,EX003,2026-01-16,E-tag,3107,311,GST,3107,311,Linkt,0
COST000197,USE01277,JOB0037,LD002,2026-01-16,Fuel,48529,4853,GST,48529,4853,BP Australia,0
COST000198,USE01277,JOB0037,LD002,2026-01-16,Labour,61804,0,N-T,0,0,Grounded Fleet Payroll,0
COST000199,USE01277,JOB0037,LD002,2026-01-16,Transport/float,47692,4769,GST,47692,4769,Grounded Float,0
COST000200,USE00136,JOB0005,BC001,2026-01-17,Fuel,20874,2087,GST,20874,2087,Caltex,0
COST000201,USE00136,JOB0005,BC001,2026-01-17,Labour,49059,0,N-T,0,0,Grounded Fleet Payroll,0
COST000202,USE00114,JOB0005,CP001,2026-01-17,Fuel,76560,7656,GST,76560,7656,Ampol,0
COST000203,USE00114,JOB0005,CP001,2026-01-17,Labour,58875,0,N-T,0,0,Grounded Fleet Payroll,0
COST000204,USE00114,JOB0005,CP001,2026-01-17,Maintenance,46558,4656,GST,46558,4656,CAT Parts,0
COST000205,USE00114,JOB0005,CP001,2026-01-17,Transport/float,112641,11264,GST,112641,11264,VIC Tilt Tray,0
COST000206,USE00103,JOB0005,DT001,2026-01-17,Fuel,17664,1766,GST,17664,1766,Viva Energy,0
COST000207,USE00103,JOB0005,DT001,2026-01-17,Labour,51373,0,N-T,0,0,Grounded Fleet Payroll,0
COST000208,USE00103,JOB0005,DT001,2026-01-17,Transport/float,54228,5423,GST,54228,5423,Metro Heavy Haulage,0
COST000209,USE00103,JOB0005,DT001,2026-01-17,E-tag,7213,721,GST,7213,721,Linkt,0
COST000210,USE00125,JOB0005,EX004,2026-01-17,Fuel,42221,4222,GST,42221,4222,Caltex,0
COST000211,USE00125,JOB0005,EX004,2026-01-17,Labour,41930,0,N-T,0,0,Grounded Fleet Payroll,0
COST000212,USE00125,JOB0005,EX004,2026-01-17,Maintenance,20166,2017,GST,20166,2017,Local Diesel Repairs,0
COST000213,USE00996,JOB0030,CP001,2026-01-17,Fuel,35613,3561,GST,35613,3561,Caltex,0
COST000214,USE00996,JOB0030,CP001,2026-01-17,Labour,53104,0,N-T,0,0,Grounded Fleet Payroll,0
COST000215,USE00996,JOB0030,CP001,2026-01-17,Transport/float,70501,7050,GST,70501,7050,Metro Heavy Haulage,0
COST000216,USE01006,JOB0030,DT001,2026-01-17,Fuel,51819,5182,GST,51819,5182,Viva Energy,0
COST000217,USE01006,JOB0030,DT001,2026-01-17,Labour,52893,0,N-T,0,0,Grounded Fleet Payroll,0
COST000218,USE01006,JOB0030,DT001,2026-01-17,Transport/float,52413,5241,GST,52413,5241,Grounded Float,0
COST000219,USE01016,JOB0030,EX002,2026-01-17,Fuel,24928,2493,GST,24928,2493,Caltex,0
COST000220,USE01016,JOB0030,EX002,2026-01-17,Labour,47368,0,N-T,0,0,Grounded Fleet Payroll,0
COST000221,USE01016,JOB0030,EX002,2026-01-17,Transport/float,101825,10182,GST,101825,10182,VIC Tilt Tray,0
COST000222,USE01001,JOB0030,EX005,2026-01-17,Fuel,44178,4418,GST,44178,4418,Caltex,0
COST000223,USE01001,JOB0030,EX005,2026-01-17,Labour,60726,0,N-T,0,0,Grounded Fleet Payroll,0
COST000224,USE01001,JOB0030,EX005,2026-01-17,E-tag,4567,457,GST,4567,457,Linkt,0
COST000225,USE01011,JOB0030,GR001,2026-01-17,Fuel,24800,2480,GST,24800,2480,BP Australia,0
COST000226,USE01011,JOB0030,GR001,2026-01-17,Labour,59628,0,N-T,0,0,Grounded Fleet Payroll,0
COST000227,USE01226,JOB0037,CP001,2026-01-17,Fuel,55237,5524,GST,55237,5524,Ampol,0
COST000228,USE01226,JOB0037,CP001,2026-01-17,Labour,53304,0,N-T,0,0,Grounded Fleet Payroll,0
COST000229,USE01226,JOB0037,CP001,2026-01-17,Transport/float,111264,11126,GST,111264,11126,Metro Heavy Haulage,0
COST000230,USE01239,JOB0037,DT001,2026-01-17,Fuel,39006,3901,GST,39006,3901,Viva Energy,0
COST000231,USE01239,JOB0037,DT001,2026-01-17,Labour,57611,0,N-T,0,0,Grounded Fleet Payroll,0
COST000232,USE01239,JOB0037,DT001,2026-01-17,Transport/float,67472,6747,GST,67472,6747,Grounded Float,0
COST000233,USE01265,JOB0037,EX002,2026-01-17,Fuel,28857,2886,GST,28857,2886,Ampol,0
COST000234,USE01265,JOB0037,EX002,2026-01-17,Labour,54269,0,N-T,0,0,Grounded Fleet Payroll,0
COST000235,USE01265,JOB0037,EX002,2026-01-17,Transport/float,48364,4836,GST,48364,4836,Metro Heavy Haulage,0
COST000236,USE01265,JOB0037,EX002,2026-01-17,E-tag,5032,503,GST,5032,503,Linkt,0
COST000237,USE01252,JOB0037,EX003,2026-01-17,Fuel,42146,4215,GST,42146,4215,Ampol,0
COST000238,USE01252,JOB0037,EX003,2026-01-17,Labour,38028,0,N-T,0,0,Grounded Fleet Payroll,0
COST000239,USE01278,JOB0037,LD002,2026-01-17,Fuel,39898,3990,GST,39898,3990,Ampol,0
COST000240,USE01278,JOB0037,LD002,2026-01-17,Labour,39154,0,N-T,0,0,Grounded Fleet Payroll,0
COST000241,USE00137,JOB0005,BC001,2026-01-19,Fuel,21842,2184,GST,21842,2184,BP Australia,0
COST000242,USE00137,JOB0005,BC001,2026-01-19,Labour,55974,0,N-T,0,0,Grounded Fleet Payroll,0
