revenue_id,usage_id,job_id,asset_id,equipment_type,usage_date,actual_hours,billable_hours,rate_used_cents,rate_source,hire_revenue_cents,float_applied_cents,total_revenue_cents,gst_output_cents,tax_code,bas_g1_cents,bas_1a_cents
REV00034,USE00997,JOB0030,EX005,50T Excavator,2026-01-13,12.0,12.0,21000,Rate card,252000,90000,342000,34200,GST,342000,34200
REV00035,USE01007,JOB0030,GR001,Grader 12M,2026-01-13,10.5,10.5,19000,Rate card,199500,80000,279500,27950,GST,279500,27950
REV00036,USE00133,JOB0005,BC001,Bobcat+8T Tipper,2026-01-14,8.5,8.5,13982,Override,118847,0,118847,11885,GST,118847,11885
REV00037,USE00111,JOB0005,CP001,Compactor 815F,2026-01-14,8.0,8.0,23000,Rate card,184000,80000,264000,26400,GST,264000,26400
REV00038,USE00100,JOB0005,DT001,Dump Truck 30T,2026-01-14,8.5,8.5,18500,Rate card,157250,70000,227250,22725,GST,227250,22725
REV00039,USE00122,JOB0005,EX004,35T Excavator,2026-01-14,11.0,11.0,17000,Rate card,187000,0,187000,18700,GST,187000,18700
REV00040,USE00993,JOB0030,CP001,Compactor 815F,2026-01-14,7.5,7.5,23000,Rate card,172500,80000,252500,25250,GST,252500,25250
REV00041,USE01003,JOB0030,DT001,Dump Truck 30T,2026-01-14,6.0,8.0,18500,Rate card,148000,70000,218000,21800,GST,218000,21800
REV00042,USE01013,JOB0030,EX002,20T Excavator,2026-01-14,10.5,10.5,15000,Rate card,157500,0,157500,15750,GST,157500,15750
REV00043,USE00998,JOB0030,EX005,50T Excavator,2026-01-14,11.0,11.0,21000,Rate card,231000,0,231000,23100,GST,231000,23100
REV00044,USE01008,JOB0030,GR001,Grader 12M,2026-01-14,9.0,9.0,19000,Rate card,171000,0,171000,17100,GST,171000,17100
REV00045,USE00134,JOB0005,BC001,Bobcat+8T Tipper,2026-01-15,9.0,9.0,13982,Override,125838,0,125838,12584,GST,125838,12584
REV00046,USE00112,JOB0005,CP001,Compactor 815F,2026-01-15,10.0,10.0,23000,Rate card,230000,80000,310000,31000,GST,310000,31000
REV00047,USE00101,JOB0005,DT001,Dump Truck 30T,2026-01-15,9.5,9.5,18500,Rate card,175750,70000,245750,24575,GST,245750,24575
REV00048,USE00123,JOB0005,EX004,35T Excavator,2026-01-15,9.5,9.5,17000,Rate card,161500,0,161500,16150,GST,161500,16150
REV00049,USE00994,JOB0030,CP001,Compactor 815F,2026-01-15,10.5,10.5,23000,Rate card,241500,80000,321500,32150,GST,321500,32150
REV00050,USE01004,JOB0030,DT001,Dump Truck 30T,2026-01-15,7.5,8.0,18500,Rate card,148000,70000,218000,21800,GST,218000,21800
REV00051,USE01014,JOB0030,EX002,20T Excavator,2026-01-15,9.5,9.5,15000,Rate card,142500,0,142500,14250,GST,142500,14250
REV00052,USE00999,JOB0030,EX005,50T Excavator,2026-01-15,10.0,10.0,21000,Rate card,210000,0,210000,21000,GST,210000,21000
REV00053,USE01009,JOB0030,GR001,Grader 12M,2026-01-15,9.0,9.0,19000,Rate card,171000,0,171000,17100,GST,171000,17100
REV00054,USE00135,JOB0005,BC001,Bobcat+8T Tipper,2026-01-16,7.5,8.0,13982,Override,111856,0,111856,11186,GST,111856,11186
REV00055,USE00113,JOB0005,CP001,Compactor 815F,2026-01-16,9.5,9.5,23000,Rate card,218500,80000,298500,29850,GST,298500,29850
REV00056,USE00102,JOB0005,DT001,Dump Truck 30T,2026-01-16,11.0,11.0,18500,Rate card,203500,70000,273500,27350,GST,273500,27350
REV00057,USE00124,JOB0005,EX004,35T Excavator,2026-01-16,11.0,11.0,17000,Rate card,187000,0,187000,18700,GST,187000,18700
REV00058,USE00995,JOB0030,CP001,Compactor 815F,2026-01-16,8.0,8.0,23000,Rate card,184000,80000,264000,26400,GST,264000,26400
REV00059,USE01005,JOB0030,DT001,Dump Truck 30T,2026-01-16,6.0,8.0,18500,Rate card,148000,70000,218000,21800,GST,218000,21800
REV00060,USE01015,JOB0030,EX002,20T Excavator,2026-01-16,11.0,11.0,15000,Rate card,165000,0,165000,16500,GST,165000,16500
REV00061,USE01000,JOB0030,EX005,50T Excavator,2026-01-16,10.5,10.5,21000,Rate card,220500,0,220500,22050,GST,220500,22050
REV00062,USE01010,JOB0030,GR001,Grader 12M,2026-01-16,9.0,9.0,19000,Rate card,171000,0,171000,17100,GST,171000,17100
REV00063,USE01225,JOB0037,CP001,Compactor 815F,2026-01-16,9.0,9.0,23000,Rate card,207000,80000,287000,28700,GST,287000,28700
REV00064,USE01238,JOB0037,DT001,Dump Truck 30T,2026-01-16,8.0,8.0,18500,Rate card,148000,70000,218000,21800,GST,218000,21800
REV00065,USE01264,JOB0037,EX002,20T Excavator,2026-01-16,12.0,12.0,15000,Rate card,180000,60000,240000,24000,GST,240000,24000
REV00066,USE01251,JOB0037,EX003,26T Excavator,2026-01-16,8.5,8.5,15000,Rate card,127500,65000,192500,19250,GST,192500,19250
REV00067,USE01277,JOB0037,LD002,Loader 4m,2026-01-16,8.5,8.5,18000,Rate card,153000,70000,223000,22300,GST,223000,22300
REV00068,USE00136,JOB0005,BC001,Bobcat+8T Tipper,2026-01-17,8.5,8.5,13982,Override,118847,0,118847,11885,GST,118847,11885
REV00069,USE00114,JOB0005,CP001,Compactor 815F,2026-01-17,9.0,9.0,23000,Rate card,207000,80000,287000,28700,GST,287000,28700
REV00070,USE00103,JOB0005,DT001,Dump Truck 30T,2026-01-17,6.5,8.0,18500,Rate card,148000,70000,218000,21800,GST,218000,21800
REV00071,USE00125,JOB0005,EX004,35T Excavator,2026-01-17,8.0,8.0,17000,Rate card,136000,0,136000,13600,GST,136000,13600
REV00072,USE00996,JOB0030,CP001,Compactor 815F,2026-01-17,10.5,10.5,23000,Rate card,241500,80000,321500,32150,GST,321500,32150
REV00073,USE01006,JOB0030,DT001,Dump Truck 30T,2026-01-17,9.0,9.0,18500,Rate card,166500,70000,236500,23650,GST,236500,23650
REV00074,USE01016,JOB0030,EX002,20T Excavator,2026-01-17,9.5,9.5,15000,Rate card,142500,60000,202500,20250,GST,202500,20250
REV00075,USE01001,JOB0030,EX005,50T Excavator,2026-01-17,10.5,10.5,21000,Rate card,220500,0,220500,22050,GST,220500,22050
REV00076,USE01011,JOB0030,GR001,Grader 12M,2026-01-17,8.5,8.5,19000,Rate card,161500,0,161500,16150,GST,161500,16150
REV00077,USE01226,JOB0037,CP001,Compactor 815F,2026-01-17,7.0,8.0,23000,Rate card,184000,80000,264000,26400,GST,264000,26400
REV00078,USE01239,JOB0037,DT001,Dump Truck 30T,2026-01-17,6.5,8.0,18500,Rate card,148000,70000,218000,21800,GST,218000,21800
REV00079,USE01265,JOB0037,EX002,20T Excavator,2026-01-17,11.5,11.5,15000,Rate card,172500,60000,232500,23250,GST,232500,23250
REV00080,USE01252,JOB0037,EX003,26T Excavator,2026-01-17,8.0,8.0,15000,Rate card,120000,0,120000,12000,GST,120000,12000
REV00081,USE01278,JOB0037,LD002,Loader 4m,2026-01-17,9.5,9.5,18000,Rate card,171000,0,171000,17100,GST,171000,17100
REV00082,USE00137,JOB0005,BC001,Bobcat+8T Tipper,2026-01-19,7.5,8.0,13982,Override,111856,0,111856,11186,GST,111856,11186
REV00083,USE00115,JOB0005,CP001,Compactor 815F,2026-01-19,8.5,8.5,23000,Rate card,195500,80000,275500,27550,GST,275500,27550
REV00084,USE00104,JOB0005,DT001,Dump Truck 30T,2026-01-19,8.5,8.5,18500,Rate card,157250,70000,227250,22725,GST,227250,22725
REV00085,USE00126,JOB0005,EX004,35T Excavator,2026-01-19,8.5,8.5,17000,Rate card,144500,0,144500,14450,GST,144500,14450
REV00086,USE00835,JOB0026,BC001,Bobcat+8T Tipper,2026-01-19,8.5,8.5,14500,Rate card,123250,50000,173250,17325,GST,173250,17325
REV00087,USE00819,JOB0026,EX001,13T Excavator,2026-01-19,9.5,9.5,14000,Rate card,133000,50000,183000,18300,GST,183000,18300
REV00088,USE00827,JOB0026,LD001,Loader 3m,2026-01-19,7.5,8.0,16000,Rate card,128000,65000,193000,19300,GST,193000,19300
REV00089,USE01227,JOB0037,CP001,Compactor 815F,2026-01-19,9.0,9.0,23000,Rate card,207000,80000,287000,28700,GST,287000,28700
REV00090,USE01240,JOB0037,DT001,Dump Truck 30T,2026-01-19,7.5,8.0,18500,Rate card,148000,70000,218000,21800,GST,218000,21800
REV00091,USE01266,JOB0037,EX002,20T Excavator,2026-01-19,9.0,9.0,15000,Rate card,135000,0,135000,13500,GST,135000,13500
REV00092,USE01253,JOB0037,EX003,26T Excavator,2026-01-19,11.0,11.0,15000,Rate card,165000,0,165000,16500,GST,165000,16500
REV00093,USE01279,JOB0037,LD002,Loader 4m,2026-01-19,8.5,8.5,18000,Rate card,153000,0,153000,15300,GST,153000,15300
REV00094,USE00138,JOB0005,BC001,Bobcat+8T Tipper,2026-01-20,8.5,8.5,13982,Override,118847,50000,168847,16885,GST,168847,16885
REV00095,USE00116,JOB0005,CP001,Compactor 815F,2026-01-20,9.5,9.5,23000,Rate card,218500,80000,298500,29850,GST,298500,29850
REV00096,USE00105,JOB0005,DT001,Dump Truck 30T,2026-01-20,9.5,9.5,18500,Rate card,175750,70000,245750,24575,GST,245750,24575
REV00097,USE00127,JOB0005,EX004,35T Excavator,2026-01-20,10.5,10.5,17000,Rate card,178500,0,178500,17850,GST,178500,17850
REV00098,USE00836,JOB0026,BC001,Bobcat+8T Tipper,2026-01-20,9.0,9.0,14500,Rate card,130500,50000,180500,18050,GST,180500,18050
REV00099,USE00820,JOB0026,EX001,13T Excavator,2026-01-20,6.5,8.0,14000,Rate card,112000,0,112000,11200,GST,112000,11200
REV00100,USE00828,JOB0026,LD001,Loader 3m,2026-01-20,9.0,9.0,16000,Rate card,144000,0,144000,14400,GST,144000,14400
REV00101,USE01228,JOB0037,CP001,Compactor 815F,2026-01-20,10.0,10.0,23000,Rate card,230000,80000,310000,31000,GST,310000,31000
REV00102,USE01241,JOB0037,DT001,Dump Truck 30T,2026-01-20,7.5,8.0,18500,Rate card,148000,70000,218000,21800,GST,218000,21800
REV00103,USE01267,JOB0037,EX002,20T Excavator,2026-01-20,9.5,9.5,15000,Rate card,142500,0,142500,14250,GST,142500,14250
REV00104,USE01254,JOB0037,EX003,26T Excavator,2026-01-20,11.5,11.5,15000,Rate card,172500,0,172500,17250,GST,172500,17250
REV00105,USE01280,JOB0037,LD002,Loader 4m,2026-01-20,9.5,9.5,18000,Rate card,171000,0,171000,17100,GST,171000,17100
REV00106,USE00139,JOB0005,BC001,Bobcat+8T Tipper,2026-01-21,8.0,8.0,13982,Override,111856,50000,161856,16186,GST,161856,16186
REV00107,USE00117,JOB0005,CP001,Compactor 815F,2026-01-21,12.0,12.0,23000,Rate card,276000,80000,356000,35600,GST,356000,35600
REV00108,USE00106,JOB0005,DT001,Dump Truck 30T,2026-01-21,9.5,9.5,18500,Rate card,175750,70000,245750,24575,GST,245750,24575
REV00109,USE00128,JOB0005,EX004,35T Excavator,2026-01-21,10.5,10.5,17000,Rate card,178500,0,178500,17850,GST,178500,17850
REV00110,USE00837,JOB0026,BC001,Bobcat+8T Tipper,2026-01-21,8.0,8.0,14500,Rate card,116000,50000,166000,16600,GST,166000,16600
REV00111,USE00821,JOB0026,EX001,13T Excavator,2026-01-21,7.5,8.0,14000,Rate card,112000,0,112000,11200,GST,112000,11200
REV00112,USE00829,JOB0026,LD001,Loader 3m,2026-01-21,9.5,9.5,16000,Rate card,152000,0,152000,15200,GST,152000,15200
REV00113,USE01229,JOB0037,CP001,Compactor 815F,2026-01-21,9.5,9.5,23000,Rate card,218500,80000,298500,29850,GST,298500,29850
REV00114,USE01242,JOB0037,DT001,Dump Truck 30T,2026-01-21,11.5,11.5,18500,Rate card,212750,70000,282750,28275,GST,282750,28275
REV00115,USE01268,JOB0037,EX002,20T Excavator,2026-01-21,12.0,12.0,15000,Rate card,180000,0,180000,18000,GST,180000,18000
REV00116,USE01255,JOB0037,EX003,26T Excavator,2026-01-21,8.5,8.5,15000,Rate card,127500,0,127500,12750,GST,127500,12750
REV00117,USE01281,JOB0037,LD002,Loader 4m,2026-01-21,8.0,8.0,18000,Rate card,144000,0,144000,14400,GST,144000,14400
REV00118,USE00140,JOB0005,BC001,Bobcat+8T Tipper,2026-01-22,8.0,8.0,13982,Override,111856,50000,161856,16186,GST,161856,16186
REV00119,USE00118,JOB0005,CP001,Compactor 815F,2026-01-22,7.5,8.0,23000,Rate card,184000,80000,264000,26400,GST,264000,26400
REV00120,USE00107,JOB0005,DT001,Dump Truck 30T,2026-01-22,9.5,9.5,18500,Rate card,175750,70000,245750,24575,GST,245750,24575
REV00121,USE00129,JOB0005,EX004,35T Excavator,2026-01-22,11.0,11.0,17000,Rate card,187000,0,187000,18700,GST,187000,18700
REV00122,USE00838,JOB0026,BC001,Bobcat+8T Tipper,2026-01-22,11.5,11.5,14500,Rate card,166750,50000,216750,21675,GST,216750,21675
REV00123,USE00822,JOB0026,EX001,13T Excavator,2026-01-22,9.5,9.5,14000,Rate card,133000,0,133000,13300,GST,133000,13300
REV00124,USE00830,JOB0026,LD001,Loader 3m,2026-01-22,11.0,11.0,16000,Rate card,176000,0,176000,17600,GST,176000,17600
REV00125,USE01230,JOB0037,CP001,Compactor 815F,2026-01-22,6.5,6.5,23000,Rate card,149500,80000,229500,22950,GST,229500,22950
REV00126,USE01243,JOB0037,DT001,Dump Truck 30T,2026-01-22,6.0,8.0,18500,Rate card,148000,70000,218000,21800,GST,218000,21800
REV00127,USE01269,JOB0037,EX002,20T Excavator,2026-01-22,8.0,8.0,15000,Rate card,120000,0,120000,12000,GST,120000,12000
REV00128,USE01256,JOB0037,EX003,26T Excavator,2026-01-22,11.5,11.5,15000,Rate card,172500,0,172500,17250,GST,172500,17250
REV00129,USE01282,JOB0037,LD002,Loader 4m,2026-01-22,8.0,8.0,18000,Rate card,144000,0,144000,14400,GST,144000,14400
REV00130,USE01406,JOB0040,EX005,50T Excavator,2026-01-22,12.0,12.0,21000,Rate card,252000,0,252000,25200,GST,252000,25200
REV00131,USE01378,JOB0040,GR001,Grader 12M,2026-01-22,8.5,8.5,19000,Rate card,161500,0,161500,16150,GST,161500,16150
REV00132,USE01392,JOB0040,LD002,Loader 4m,2026-01-22,6.5,8.0,16522,Override,132176,70000,202176,20218,GST,202176,20218
REV00133,USE00141,JOB0005,BC001,Bobcat+8T Tipper,2026-01-23,8.0,8.0,13982,Override,111856,50000,161856,16186,GST,161856,16186
REV00134,USE00119,JOB0005,CP001,Compactor 815F,2026-01-23,10.0,10.0,23000,Rate card,230000,80000,310000,31000,GST,310000,31000
REV00135,USE00108,JOB0005,DT001,Dump Truck 30T,2026-01-23,9.5,9.5,18500,Rate card,175750,70000,245750,24575,GST,245750,24575
REV00136,USE00130,JOB0005,EX004,35T Excavator,2026-01-23,9.5,9.5,17000,Rate card,161500,0,161500,16150,GST,161500,16150
REV00137,USE00839,JOB0026,BC001,Bobcat+8T Tipper,2026-01-23,9.5,9.5,14500,Rate card,137750,50000,187750,18775,GST,187750,18775
REV00138,USE00823,JOB0026,EX001,13T Excavator,2026-01-23,8.5,8.5,14000,Rate card,119000,0,119000,11900,GST,119000,11900
REV00139,USE00831,JOB0026,LD001,Loader 3m,2026-01-23,10.5,10.5,16000,Rate card,168000,0,168000,16800,GST,168000,16800
REV00140,USE01231,JOB0037,CP001,Compactor 815F,2026-01-23,10.0,10.0,23000,Rate card,230000,80000,310000,31000,GST,310000,31000
REV00141,USE01244,JOB0037,DT001,Dump Truck 30T,2026-01-23,9.5,9.5,18500,Rate card,175750,70000,245750,24575,GST,245750,24575
REV00142,USE01270,JOB0037,EX002,20T Excavator,2026-01-23,6.5,8.0,15000,Rate card,120000,0,120000,12000,GST,120000,12000
REV00143,USE01257,JOB0037,EX003,26T Excavator,2026-01-23,8.5,8.5,15000,Rate card,127500,0,127500,12750,GST,127500,12750
REV00144,USE01283,JOB0037,LD002,Loader 4m,2026-01-23,7.0,8.0,18000,Rate card,144000,70000,214000,21400,GST,214000,21400
REV00145,USE01407,JOB0040,EX005,50T Excavator,2026-01-23,6.0,8.0,21000,Rate card,168000,0,168000,16800,GST,168000,16800
REV00146,USE01379,JOB0040,GR001,Grader 12M,2026-01-23,11.0,11.0,19000,Rate card,209000,0,209000,20900,GST,209000,20900
REV00147,USE01393,JOB0040,LD002,Loader 4m,2026-01-23,9.5,9.5,16522,Override,156959,70000,226959,22696,GST,226959,22696
REV00148,USE00840,JOB0026,BC001,Bobcat+8T Tipper,2026-01-24,8.5,8.5,14500,Rate card,123250,0,123250,12325,GST,123250,12325
REV00149,USE00824,JOB0026,EX001,13T Excavator,2026-01-24,6.5,8.0,14000,Rate card,112000,0,112000,11200,GST,112000,11200
REV00150,USE00832,JOB0026,LD001,Loader 3m,2026-01-24,8.0,8.0,16000,Rate card,128000,0,128000,12800,GST,128000,12800
REV00151,USE01232,JOB0037,CP001,Compactor 815F,2026-01-24,10.5,10.5,23000,Rate card,241500,0,241500,24150,GST,241500,24150
REV00152,USE01245,JOB0037,DT001,Dump Truck 30T,2026-01-24,11.0,11.0,18500,Rate card,203500,0,203500,20350,GST,203500,20350
REV00153,USE01271,JOB0037,EX002,20T Excavator,2026-01-24,8.5,8.5,15000,Rate card,127500,0,127500,12750,GST,127500,12750
REV00154,USE01258,JOB0037,EX003,26T Excavator,2026-01-24,11.5,11.5,15000,Rate card,172500,0,172500,17250,GST,172500,17250
REV00155,USE01284,JOB0037,LD002,Loader 4m,2026-01-24,10.0,10.0,18000,Rate card,180000,70000,250000,25000,GST,250000,25000
REV00156,USE01408,JOB0040,EX005,50T Excavator,2026-01-24,9.5,9.5,21000,Rate card,199500,0,199500,19950,GST,199500,19950
REV00157,USE01380,JOB0040,GR001,Grader 12M,2026-01-24,8.0,8.0,19000,Rate card,152000,0,152000,15200,GST,152000,15200
REV00158,USE01394,JOB0040,LD002,Loader 4m,2026-01-24,9.5,9.5,16522,Override,156959,70000,226959,22696,GST,226959,22696
REV00159,USE00841,JOB0026,BC001,Bobcat+8T Tipper,2026-01-26,10.0,10.0,14500,Rate card,145000,0,145000,14500,GST,145000,14500
REV00160,USE00825,JOB0026,EX001,13T Excavator,2026-01-26,11.0,11.0,14000,Rate card,154000,0,154000,15400,GST,154000,15400
REV00161,USE00833,JOB0026,LD001,Loader 3m,2026-01-26,9.0,9.0,16000,Rate card,144000,0,144000,14400,GST,144000,14400
REV00162,USE01233,JOB0037,CP001,Compactor 815F,2026-01-26,12.0,12.0,23000,Rate card,276000,0,276000,27600,GST,276000,27600
REV00163,USE01246,JOB0037,DT001,Dump Truck 30T,2026-01-26,10.5,10.5,18500,Rate card,194250,0,194250,19425,GST,194250,19425
REV00164,USE01272,JOB0037,EX002,20T Excavator,2026-01-26,8.0,8.0,15000,Rate card,120000,0,120000,12000,GST,120000,12000
REV00165,USE01259,JOB0037,EX003,26T Excavator,2026-01-26,9.0,9.0,15000,Rate card,135000,0,135000,13500,GST,135000,13500
REV00166,USE01285,JOB0037,LD002,Loader 4m,2026-01-26,7.5,8.0,18000,Rate card,144000,70000,214000,21400,GST,214000,21400
REV00167,USE01409,JOB0040,EX005,50T Excavator,2026-01-26,8.5,8.5,21000,Rate card,178500,0,178500,17850,GST,178500,17850
REV00168,USE01381,JOB0040,GR001,Grader 12M,2026-01-26,10.0,10.0,19000,Rate card,190000,0,190000,19000,GST,190000,19000
REV00169,USE01395,JOB0040,LD002,Loader 4m,2026-01-26,10.5,10.5,16522,Override,173481,70000,243481,24348,GST,243481,24348
REV00170,USE00842,JOB0026,BC001,Bobcat+8T Tipper,2026-01-27,7.0,8.0,14500,Rate card,116000,0,116000,11600,GST,116000,11600
REV00171,USE00826,JOB0026,EX001,13T Excavator,2026-01-27,9.5,9.5,14000,Rate card,133000,0,133000,13300,GST,133000,13300
REV00172,USE00834,JOB0026,LD001,Loader 3m,2026-01-27,7.0,8.0,16000,Rate card,128000,0,128000,12800,GST,128000,12800
REV00173,USE01234,JOB0037,CP001,Compactor 815F,2026-01-27,8.0,8.0,23000,Rate card,184000,0,184000,18400,GST,184000,18400
REV00174,USE01247,JOB0037,DT001,Dump Truck 30T,2026-01-27,9.0,9.0,18500,Rate card,166500,0,166500,16650,GST,166500,16650
REV00175,USE01273,JOB0037,EX002,20T Excavator,2026-01-27,9.5,9.5,15000,Rate card,142500,0,142500,14250,GST,142500,14250
REV00176,USE01260,JOB0037,EX003,26T Excavator,2026-01-27,6.5,8.0,15000,Rate card,120000,0,120000,12000,GST,120000,12000
REV00177,USE01286,JOB0037,LD002,Loader 4m,2026-01-27,10.0,10.0,18000,Rate card,180000,70000,250000,25000,GST,250000,25000
REV00178,USE01410,JOB0040,EX005,50T Excavator,2026-01-27,12.0,12.0,21000,Rate card,252000,0,252000,25200,GST,252000,25200
REV00179,USE01382,JOB0040,GR001,Grader 12M,2026-01-27,8.0,8.0,19000,Rate card,152000,0,152000,15200,GST,152000,15200
REV00180,USE01396,JOB0040,LD002,Loader 4m,2026-01-27,6.0,8.0,16522,Override,132176,70000,202176,20218,GST,202176,20218
REV00181,USE01235,JOB0037,CP001,Compactor 815F,2026-01-28,9.0,9.0,23000,Rate card,207000,0,207000,20700,GST,207000,20700
REV00182,USE01248,JOB0037,DT001,Dump Truck 30T,2026-01-28,11.5,11.5,18500,Rate card,212750,0,212750,21275,GST,212750,21275
REV00183,USE01274,JOB0037,EX002,20T Excavator,2026-01-28,9.5,9.5,15000,Rate card,142500,0,142500,14250,GST,142500,14250
REV00184,USE01261,JOB0037,EX003,26T Excavator,2026-01-28,9.5,9.5,15000,Rate card,142500,0,142500,14250,GST,142500,14250
REV00185,USE01287,JOB0037,LD002,Loader 4m,2026-01-28,9.5,9.5,18000,Rate card,171000,70000,241000,24100,GST,241000,24100
REV00186,USE01411,JOB0040,EX005,50T Excavator,2026-01-28,8.5,8.5,21000,Rate card,178500,0,178500,17850,GST,178500,17850
REV00187,USE01383,JOB0040,GR001,Grader 12M,2026-01-28,9.0,9.0,19000,Rate card,171000,0,171000,17100,GST,171000,17100
REV00188,USE01397,JOB0040,LD002,Loader 4m,2026-01-28,7.5,8.0,16522,Override,132176,70000,202176,20218,GST,202176,20218
REV00189,USE01236,JOB0037,CP001,Compactor 815F,2026-01-29,10.0,10.0,23000,Rate card,230000,0,230000,23000,GST,230000,23000
REV00190,USE01249,JOB0037,DT001,Dump Truck 30T,2026-01-29,8.0,8.0,18500,Rate card,148000,0,148000,14800,GST,148000,14800
REV00191,USE01275,JOB0037,EX002,20T Excavator,2026-01-29,9.0,9.0,15000,Rate card,135000,0,135000,13500,GST,135000,13500
REV00192,USE01262,JOB0037,EX003,26T Excavator,2026-01-29,9.5,9.5,15000,Rate card,142500,0,142500,14250,GST,142500,14250
